crudeoil,cases,vaccines,holidays,crudeoil_one,cases_one,vaccines_one,holidays_one,crudeoil_two,cases_two,vaccines_two,holidays_two,crudeoil_three,cases_three,vaccines_three,holidays_three,crudeoil_four,cases_four,vaccines_four,holidays_four,crudeoil_five,cases_five,vaccines_five,holidays_five
63.5800,32424126.0000,2881177.0000,0,65.0100,32365966.0000,3020166.0000,0,63.8600,32307052.0000,3062682.0000,0,62.9400,32251958.0000,2864326.0000,0,61.9100,32201224.0000,2368313.0000,0,62.1400,32067397.0000,3275798.0000,0
64.4900,32549617.0000,1950313.0000,0,63.5800,32424126.0000,2881177.0000,0,65.0100,32365966.0000,3020166.0000,0,63.8600,32307052.0000,3062682.0000,0,62.9400,32251958.0000,2864326.0000,0,61.9100,32201224.0000,2368313.0000,0
65.6900,32590417.0000,2488215.0000,0,64.4900,32549617.0000,1950313.0000,0,63.5800,32424126.0000,2881177.0000,0,65.0100,32365966.0000,3020166.0000,0,63.8600,32307052.0000,3062682.0000,0,62.9400,32251958.0000,2864326.0000,0
65.6300,32636119.0000,2524913.0000,0,65.6900,32590417.0000,2488215.0000,0,64.4900,32549617.0000,1950313.0000,0,63.5800,32424126.0000,2881177.0000,0,65.0100,32365966.0000,3020166.0000,0,63.8600,32307052.0000,3062682.0000,0
64.7100,32683074.0000,2494191.0000,0,65.6300,32636119.0000,2524913.0000,0,65.6900,32590417.0000,2488215.0000,0,64.4900,32549617.0000,1950313.0000,0,63.5800,32424126.0000,2881177.0000,0,65.0100,32365966.0000,3020166.0000,0
64.9000,32731181.0000,2480555.0000,0,64.7100,32683074.0000,2494191.0000,0,65.6300,32636119.0000,2524913.0000,0,65.6900,32590417.0000,2488215.0000,0,64.4900,32549617.0000,1950313.0000,0,63.5800,32424126.0000,2881177.0000,0
64.9200,32822952.0000,1587362.0000,0,64.9000,32731181.0000,2480555.0000,0,64.7100,32683074.0000,2494191.0000,0,65.6300,32636119.0000,2524913.0000,0,65.6900,32590417.0000,2488215.0000,0,64.4900,32549617.0000,1950313.0000,0
65.2800,32857015.0000,2028249.0000,0,64.9200,32822952.0000,1587362.0000,0,64.9000,32731181.0000,2480555.0000,0,64.7100,32683074.0000,2494191.0000,0,65.6300,32636119.0000,2524913.0000,0,65.6900,32590417.0000,2488215.0000,0
66.0800,32893208.0000,2000572.0000,0,65.2800,32857015.0000,2028249.0000,0,64.9200,32822952.0000,1587362.0000,0,64.9000,32731181.0000,2480555.0000,0,64.7100,32683074.0000,2494191.0000,0,65.6300,32636119.0000,2524913.0000,0
63.8200,32931737.0000,2258987.0000,0,66.0800,32893208.0000,2000572.0000,0,65.2800,32857015.0000,2028249.0000,0,64.9200,32822952.0000,1587362.0000,0,64.9000,32731181.0000,2480555.0000,0,64.7100,32683074.0000,2494191.0000,0
65.3700,32973601.0000,2433541.0000,0,63.8200,32931737.0000,2258987.0000,0,66.0800,32893208.0000,2000572.0000,0,65.2800,32857015.0000,2028249.0000,0,64.9200,32822952.0000,1587362.0000,0,64.9000,32731181.0000,2480555.0000,0
66.2700,33048421.0000,1807879.0000,0,65.3700,32973601.0000,2433541.0000,0,63.8200,32931737.0000,2258987.0000,0,66.0800,32893208.0000,2000572.0000,0,65.2800,32857015.0000,2028249.0000,0,64.9200,32822952.0000,1587362.0000,0
65.4900,33076218.0000,2057156.0000,0,66.2700,33048421.0000,1807879.0000,0,65.3700,32973601.0000,2433541.0000,0,63.8200,32931737.0000,2258987.0000,0,66.0800,32893208.0000,2000572.0000,0,65.2800,32857015.0000,2028249.0000,0
63.3600,33105725.0000,2071188.0000,0,65.4900,33076218.0000,2057156.0000,0,66.2700,33048421.0000,1807879.0000,0,65.3700,32973601.0000,2433541.0000,0,63.8200,32931737.0000,2258987.0000,0,66.0800,32893208.0000,2000572.0000,0
62.0500,33135569.0000,2000772.0000,0,63.3600,33105725.0000,2071188.0000,0,65.4900,33076218.0000,2057156.0000,0,66.2700,33048421.0000,1807879.0000,0,65.3700,32973601.0000,2433541.0000,0,63.8200,32931737.0000,2258987.0000,0
63.5800,33164120.0000,2040770.0000,0,62.0500,33135569.0000,2000772.0000,0,63.3600,33105725.0000,2071188.0000,0,65.4900,33076218.0000,2057156.0000,0,66.2700,33048421.0000,1807879.0000,0,65.3700,32973601.0000,2433541.0000,0
